index,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,spotifyLink
129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67,https://open.spotify.com/track/5jx8tCxiO0uIbo2uNia23K
334,Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38,73,199,27,9,61,https://open.spotify.com/track/0puf9yIluy9W0vpMEUoAnN
326,On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
546,Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72,https://open.spotify.com/track/2cEmWBBlCfR9wWrY9JmTyt
446,Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM
133,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63,https://open.spotify.com/track/5rgy6ghBq1eRApCkeUdJXf
463,The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,https://open.spotify.com/track/1NhPKVLsHhFUHIOZ32QnS2
538,Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
